r,pt,steps,FOMCost
21,7,1,261200.0
21,8,1,150600.0
21,9,1,5000.0
21,10,1,33500.0
21,10,2,33500.0
21,11,1,5000.0
21,12,1,40000.0
21,13,1,154000.0
21,14,1,33100.0
21,15,1,20200.0
21,15,2,5000.0
22,1,1,61600.0
22,1,2,61600.0
22,1,3,61600.0
22,2,1,5000.0
22,2,2,5000.0
22,2,3,5000.0
22,3,1,6900.0
22,3,2,6900.0
22,3,3,6900.0
22,4,1,12100.0
22,4,2,12100.0
22,4,3,12100.0
22,5,1,5000.0
22,6,1,156200.0
22,7,1,261200.0
22,8,1,150600.0
22,9,1,5000.0
22,10,1,33500.0
22,10,2,33500.0
22,11,1,5000.0
22,12,1,40000.0
22,13,1,154000.0
22,14,1,33100.0
22,15,1,20200.0
22,15,2,5000.0
23,1,1,61600.0
23,1,2,61600.0
23,1,3,61600.0
23,2,1,5000.0
23,2,2,5000.0
23,2,3,5000.0
23,3,1,6900.0
23,3,2,6900.0
23,3,3,6900.0
23,4,1,12100.0
23,4,2,12100.0
23,4,3,12100.0
23,5,1,5000.0
23,6,1,156200.0
23,7,1,261200.0
23,8,1,150600.0
23,9,1,5000.0
23,10,1,33500.0
23,10,2,33500.0
23,11,1,5000.0
23,12,1,40000.0
23,13,1,154000.0
23,14,1,33100.0
23,15,1,20200.0
23,15,2,5000.0
24,1,1,61600.0
24,1,2,61600.0
24,1,3,61600.0
24,2,1,5000.0
24,2,2,5000.0
24,2,3,5000.0
24,3,1,6900.0
24,3,2,6900.0
24,3,3,6900.0
24,4,1,12100.0
24,4,2,12100.0
24,4,3,12100.0
24,5,1,5000.0
24,6,1,156200.0
24,7,1,261200.0
24,8,1,150600.0
24,9,1,5000.0
24,10,1,33500.0
24,10,2,33500.0
24,11,1,5000.0
24,12,1,40000.0
24,13,1,154000.0
24,14,1,33100.0
24,15,1,20200.0
24,15,2,5000.0
25,1,1,61600.0
25,1,2,61600.0
25,1,3,61600.0
25,2,1,5000.0
25,2,2,5000.0
25,2,3,5000.0
25,3,1,6900.0
25,3,2,6900.0
25,3,3,6900.0
25,4,1,12100.0
25,4,2,12100.0
25,4,3,12100.0
25,5,1,5000.0
25,6,1,156200.0
25,7,1,261200.0
25,8,1,150600.0
25,9,1,5000.0
25,10,1,33500.0
25,10,2,33500.0
25,11,1,5000.0
25,12,1,40000.0
25,13,1,154000.0
25,14,1,33100.0
25,15,1,20200.0
25,15,2,5000.0
